Building,ROOM,Type,Dept,Class,Title,Meeting_Dates,Meeting Days,Meeting_Times,Room_Capacity,Max_Enrl,Actual_Enrl,,,
CH,400A,CL,GENERAL POOL CLASSROOM,LING 153,INDEPENDENT RESEARCH WRITING,Sep 26-Dec 10,MWF,1245-1350,20,20,12,,,
CH,400A,CL,GENERAL POOL CLASSROOM,GRK 332U,GREEK RELIGION,Sep 26-Dec 10,MWF,1400-1505,20,20,12,,,
CH,400A,CL,GENERAL POOL CLASSROOM,ELP 511,PRINCIPLES OF ED RES-DATA I,OCT 01-Dec 03,S,1300-1600,20,20,17,,,
CH,400A,CL,GENERAL POOL CLASSROOM,PA 595,PUBLIC SECTOR LABOR RELATIONS,Sep 26-Dec 10,T,1840-2120,20,10,6,,,
CH,400A,CL,GENERAL POOL CLASSROOM,PS 486/586,AMER POLTCL THOUGHT: 1600-1820,Sep 26-Dec 10,TR,0800-0950,20,20,7,,,
CH,400A,CL,GENERAL POOL CLASSROOM,WS 375U,TOP: QUEER ECOLOGIES,Sep 26-Dec 10,TR,1000-1150,20,20,13,,,
CH,400A,CL,GENERAL POOL CLASSROOM,UNST 421,CAP: COLLABORATIONS,Sep 26-Dec 10,TR,1200-1350,20,16,13,,,
CH,400A,CL,GENERAL POOL CLASSROOM,WR 312,INTERMED FICTION WR,Sep 26-Dec 10,TR,1400-1550,20,20,20,,,
,,,,,,,,,,,,,,
FAB,49,CL,GENERAL POOL CLASSROOM,LING 144,ACADEMIC READNG NONNATIVE SPKR,Sep 26-Dec 10,MWF,1245-1350,20,20,18,,,
FAB,49,CL,GENERAL POOL CLASSROOM,LING 144,ACADEMIC READNG NONNATIVE SPKR,Sep 26-Dec 10,MWF,1400-1505,20,20,16,,,
FAB,49,CL,GENERAL POOL CLASSROOM,ECE 510,TOP: EMBEDDED VISION I,Sep 26-Dec 10,TR,1000-1150,20,20,17,,,
FAB,49,CL,GENERAL POOL CLASSROOM,WR 121,COLLEGE WRITING,Sep 26-Dec 10,TR,1400-1550,20,20,19,,,
FAB,49,CL,GENERAL POOL CLASSROOM,COUN 590,FOUNDATIONS REHAB COUNSELING,Sep 26-Dec 10,W,1600-1830,20,20,14,,,
,,,,,,,,,,,,,,
NH,204,CL,GENERAL POOL CLASSROOM,FILM 374,TOP: SCRNWRTNG: 1 HR TV SERIES,Sep 26-Dec 10,M,1800-2135,20,20,19,,,
NH,204,CL,GENERAL POOL CLASSROOM,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,R,1200-1350,20,20,6,,,
NH,204,CL,GENERAL POOL CLASSROOM,MTH 492/ 592,PROBLEM SOLV-MS TCHR,Sep 26-Dec 10,R,1600-1830,20,10,6,,,
NH,204,CL,GENERAL POOL CLASSROOM,HON 407,SEM: SOCIOLOGY HEALTH&MEDICINE,Sep 26-Dec 10,T,1600-1750,20,12,12,,,
NH,204,CL,GENERAL POOL CLASSROOM,SCI 503,THESIS: MST THESIS RESEARCH I,Sep 26-Dec 10,T,1830-2020,20,15,8,,,
NH,204,CL,GENERAL POOL CLASSROOM,LING 136,SPEAKING/LISTENING LEVEL 3,Sep 26-Dec 10,TR,1000-1150,20,20,18,,,
,,,,,,,,,,,,,,
OND,204,CL,GENERAL POOL CLASSROOM,LING 143,GUIDED RESEARCH WRITING,Sep 26-Dec 10,MWF,1130-1235,20,20,15,,,
OND,204,CL,GENERAL POOL CLASSROOM,LING 143,GUIDED RESEARCH WRITING,Sep 26-Dec 10,MWF,1245-1350,20,20,11,,,
OND,204,CL,GENERAL POOL CLASSROOM,LING 114,READING LEVEL 1,Sep 26-Dec 10,MWF,1400-1505,20,22,14,,,
OND,204,CL,GENERAL POOL CLASSROOM,LING 399,SPST: TNP ENGLISH,Sep 26-Dec 10,MWF,1515-1735,20,19,17,,,
OND,204,CL,GENERAL POOL CLASSROOM,LING 170,SKILLS ENHANCEMENT,Sep 26-Dec 10,R,1200-1350,20,20,14,,,
OND,204,CL,GENERAL POOL CLASSROOM,LING 116,SPEAKING/LISTENING LEVEL 1,Sep 26-Dec 10,TR,1000-1150,20,20,16,,,
,,,,,,,,,,,,,,
SEC,159,CL,GENERAL POOL CLASSROOM,ARH 498/ 598,CONTEMPORARY ART I,Sep 26-Dec 10,R,1000-1250,20,20,11,,,
SEC,159,CL,GENERAL POOL CLASSROOM,JPN 409/ 509,PRAC: TEACHING JAPANESE,Sep 26-Dec 10,T,1000-1150,20,11,8,,,
,,,,,,,,,,,,,,
SRTC,139B,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,ESM 509,PRAC: MEM,Sep 26-Dec 10,F,0900-0950,20,20,15,,,
SRTC,139B,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,CH 460/ 560,PREBIOTIC CHEMISTRY,Sep 26-Dec 10,MW,1640-1830,20,20,8,,,
SRTC,139B,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,CH 410/ 510,TOP: NANOMATERIALS,Sep 26-Dec 10,MW,1840-2030,20,20,11,,,
SRTC,139B,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,STAT 664,THRY LINEAR MODELS I,Sep 26-Dec 10,MWF,1015-1105,20,10,8,,,
SRTC,139B,CL,GENERAL POOL CLASSROOM/ CHEMISTRY,LING 114,READING LEVEL 1,Sep 26-Dec 10,MWF,1130-1235,20,20,16,,,
